pid,name,gender,price,type,inventory_amount,color,size
10043,Nulla Pellentesque,f,183,belt,29,Yellow,small
10054,consectetuer,f,31,belt,20,Green,small
10139,aliquet,f,68,belt,28,White,small
10145,Curabitur,f,13,belt,40,White,small
10158,consectetuer,f,177,belt,48,Blue,small
10182,vestibulum,f,67,belt,11,Green,medium
10186,dignissim sit,f,173,belt,36,White,medium
10188,Class,f,159,belt,11,Green,medium
10213,montes,f,121,belt,26,Green,medium
10227,aliquet,f,168,belt,21,Yellow,large
10233,Aenean,f,64,belt,43,Yellow,large
10236,augue conubia,f,43,belt,45,Blue,large
10237,adipiscing accumsan,f,19,belt,37,Yellow,large
10253,urna eros,f,73,belt,23,Green,large
10271,semper,f,187,belt,19,Green,large
10310,vulputate,m,145,belt,39,Red,small
10313,felis,m,114,belt,26,Red,small
10315,dui,m,74,belt,43,Blue,large
10327,Morbi eu,m,147,belt,18,Blue,small
10338,luctus eros,m,177,belt,12,Yellow,medium
10371,mus,m,76,belt,37,Yellow,medium
10399,lobortis,m,9,belt,6,Black,medium
10404,ut nulla,m,92,belt,49,Black,medium
10432,ad interdum,m,110,belt,22,Black,large
10440,sagittis Mauris,m,91,belt,32,Black,large
10452,tempus,m,162,belt,19,Black,large
10460,sociis tempus,m,183,belt,26,Black,large
10502,mattis est,m,117,belt,15,Black,medium
10515,sollicitudin,m,183,belt,40,Black,medium
10533,viverra,m,27,belt,15,Black,medium
10548,libero,m,112,belt,49,Black,large
10567,elit,m,140,belt,6,Black,medium
10569,ligula,m,105,belt,9,Black,small
10589,elit laoreet,m,14,belt,47,Black,large
10076,cursus arcu,f,31,blazer,23,Green,small
10169,hymenaeos,f,152,blazer,43,Black,medium
10184,porta,f,121,blazer,40,Yellow,medium
10189,Nullam,f,145,blazer,24,Blue,medium
10224,Nam montes,f,186,blazer,25,Red,large
10243,montes,f,137,blazer,25,Yellow,large
10252,mattis non,f,31,blazer,44,Red,large
10263,feugiat,f,194,blazer,24,Green,large
10266,Suspendisse Phasellus,f,176,blazer,31,Green,large
10281,posuere,f,170,blazer,21,White,large
10288,sociosqu,f,54,blazer,9,Red,large
10389,elit euismod,m,179,blazer,9,Red,medium
10394,auctor,m,68,blazer,39,Black,medium
10414,tincidunt leo,m,199,blazer,49,Black,medium
10465,ante,m,40,blazer,21,Black,large
10501,scelerisque tincidunt,m,45,blazer,49,Black,large
10508,Mauris,m,28,blazer,35,Black,large
10512,mattis volutpat,m,126,blazer,38,Black,medium
10527,sapien ut,m,42,blazer,19,Black,small
10570,et,m,22,blazer,32,Black,medium
10574,bibendum,m,192,blazer,28,Black,small
10575,pellentesque,m,9,blazer,46,Black,medium
10584,laoreet interdum,m,198,blazer,14,Black,large
10590,velit,m,149,blazer,33,Black,small
10011,nascetur pellentesque,f,73,camisole,42,White,small
10014,arcu elementum,f,194,camisole,23,Blue,small
10020,Lorem facilisi,f,137,camisole,16,Blue,small
10030,bibendum auctor,f,197,camisole,35,Blue,small
10078,tempor,f,81,camisole,7,Yellow,small
10095,tristique,f,98,camisole,14,Blue,small
10097,libero,f,107,camisole,16,Red,small
10114,Nam,f,127,camisole,32,Blue,small
10118,posuere,f,67,camisole,36,Red,small
10163,Curabitur imperdiet,f,43,camisole,35,Black,medium
10165,vestibulum,f,40,camisole,44,Red,medium
10215,Vivamus sit,f,198,camisole,32,Yellow,large
10229,metus Nunc,f,95,camisole,22,White,large
10230,Sed,f,14,camisole,31,Red,large
10235,conubia commodo,f,44,camisole,30,Green,large
10257,Donec commodo,f,24,camisole,38,Green,large
10295,ultricies,f,94,camisole,24,Yellow,small
10302,sociosqu,m,67,casual shirt,14,Black,medium
10305,velit,m,105,casual shirt,7,Green,medium
10308,vel nascetur,m,40,casual shirt,50,Black,medium
10341,ultricies,m,17,casual shirt,28,Red,large
10368,nulla,m,96,casual shirt,8,Red,small
10369,vestibulum augue,m,31,casual shirt,5,Green,medium
10375,tristique,m,161,casual shirt,45,Yellow,large
10386,elementum,m,152,casual shirt,37,Yellow,medium
10396,Nam,m,189,casual shirt,47,Black,medium
10403,accumsan eu,m,60,casual shirt,37,Black,small
10412,interdum turpis,m,179,casual shirt,7,Black,large
10420,hendrerit,m,21,casual shirt,15,Black,large
10428,sit nonummy,m,12,casual shirt,22,Black,large
10433,ridiculus nostra,m,127,casual shirt,20,Black,small
10457,auctor,m,27,casual shirt,30,Black,large
10486,venenatis Mauris,m,20,casual shirt,39,Black,large
10499,laoreet,m,155,casual shirt,44,Black,small
10514,porta purus,m,56,casual shirt,33,Black,small
10530,taciti dictum,m,118,casual shirt,43,Black,medium
10531,Aenean,m,20,casual shirt,37,Black,large
10593,metus Class,m,29,casual shirt,16,Black,medium
10599,pretium,m,167,casual shirt,24,Black,large
10016,senectus,f,106,cotton coat,42,Black,small
10031,hendrerit non,f,91,cotton coat,32,Yellow,small
10037,Morbi,f,101,cotton coat,41,Yellow,small
10040,dui,f,149,cotton coat,50,Red,small
10055,facilisis,f,195,cotton coat,24,Blue,small
10060,condimentum,f,28,cotton coat,34,Green,small
10064,tellus placerat,f,176,cotton coat,11,White,small
10074,malesuada,f,37,cotton coat,21,Yellow,small
10079,lobortis,f,84,cotton coat,11,Black,small
10085,fringilla,f,25,cotton coat,47,Black,small
10086,Lorem,f,193,cotton coat,23,White,small
10087,pellentesque taciti,f,34,cotton coat,15,Red,small
10102,dolor porta,f,101,cotton coat,44,White,small
10112,metus dictum,f,127,cotton coat,37,Red,small
10122,Sed posuere,f,132,cotton coat,22,Black,small
10127,laoreet,f,68,cotton coat,18,Yellow,small
10131,molestie,f,60,cotton coat,15,Yellow,small
10159,Nulla,f,50,cotton coat,29,Red,small
10161,montes,f,57,cotton coat,50,Blue,small
10167,ullamcorper orci,f,185,cotton coat,44,Blue,medium
10175,Maecenas,f,124,cotton coat,25,Black,medium
10191,Class,f,151,cotton coat,20,Black,medium
10198,In,f,110,cotton coat,29,White,medium
10234,magnis ullamcorper,f,109,cotton coat,44,Red,large
10244,iaculis vulputate,f,156,cotton coat,16,Black,large
10304,cursus,m,85,cotton coat,15,Red,small
10309,convallis,m,155,cotton coat,10,White,large
10401,nibh,m,92,cotton coat,20,Black,medium
10407,eleifend,m,89,cotton coat,34,Black,large
10417,feugiat habitant,m,169,cotton coat,21,Black,medium
10430,ante,m,39,cotton coat,22,Black,large
10461,scelerisque,m,17,cotton coat,38,Black,medium
10506,felis dictum,m,111,cotton coat,20,Black,large
10532,erat Praesent,m,21,cotton coat,24,Black,small
10550,ad velit,m,72,cotton coat,46,Black,medium
10577,euismod,m,124,cotton coat,43,Black,medium
10586,dapibus,m,58,cotton coat,34,Black,medium
10587,auctor venenatis,m,25,cotton coat,39,Black,large
10019,facilisis,f,86,denim coat,5,Green,small
10033,gravida,f,40,denim coat,10,White,small
10039,diam bibendum,f,34,denim coat,35,White,small
10057,ad,f,99,denim coat,46,Black,small
10062,Suspendisse ullamcorper,f,15,denim coat,46,Yellow,small
10141,taciti vitae,f,130,denim coat,5,Green,small
10148,non,f,28,denim coat,5,Blue,small
10190,Vivamus,f,75,denim coat,16,Yellow,medium
10193,Duis odio,f,87,denim coat,22,Red,medium
10206,metus,f,21,denim coat,42,Yellow,medium
10228,augue,f,198,denim coat,13,Black,large
10242,neque volutpat,f,146,denim coat,43,Blue,large
10286,fames,f,156,denim coat,37,Black,large
10307,hymenaeos aliquam,m,124,denim coat,28,Yellow,small
10332,pretium,m,64,denim coat,24,Green,small
10336,ad,m,27,denim coat,40,Green,large
10352,et blandit,m,159,denim coat,17,Red,small
10363,vestibulum quis,m,58,denim coat,5,Red,small
10434,mi ut,m,174,denim coat,38,Black,medium
10446,Nunc,m,8,denim coat,43,Black,medium
10453,porttitor,m,124,denim coat,40,Black,small
10459,lobortis,m,80,denim coat,21,Black,medium
10467,Etiam,m,14,denim coat,50,Black,medium
10472,feugiat,m,105,denim coat,33,Black,medium
10474,rutrum,m,182,denim coat,21,Black,small
10487,montes adipiscing,m,78,denim coat,11,Black,medium
10504,sollicitudin elementum,m,46,denim coat,32,Black,small
10518,conubia ultricies,m,31,denim coat,48,Black,large
10553,Donec pharetra,m,55,denim coat,14,Black,large
10558,magnis,m,79,denim coat,36,Black,large
10568,sollicitudin,m,122,denim coat,41,Black,large
10003,vehicula,f,107,dress,34,Yellow,small
10004,gravida,f,173,dress,37,Black,small
10006,vehicula,f,167,dress,43,Red,small
10026,Mauris nulla,f,51,dress,43,Black,small
10034,hymenaeos Vivamus,f,131,dress,10,Red,small
10046,scelerisque Ut,f,95,dress,13,Blue,small
10058,ornare,f,177,dress,41,White,small
10066,lacinia,f,32,dress,40,Green,small
10080,taciti,f,192,dress,37,White,small
10088,Morbi,f,145,dress,43,Green,small
10123,Duis torquent,f,95,dress,39,White,small
10125,dapibus,f,184,dress,27,Green,small
10129,consectetuer,f,52,dress,50,Green,small
10135,vulputate Mauris,f,144,dress,25,Green,small
10136,Duis,f,190,dress,27,Blue,small
10152,pede,f,152,dress,24,Blue,small
10208,at,f,111,dress,7,White,medium
10210,vitae,f,100,dress,29,Green,medium
10221,ac ut,f,147,dress,22,Yellow,large
10246,inceptos,f,41,dress,37,Red,large
10262,sagittis,f,70,dress,35,Red,large
10268,sodales,f,5,dress,28,Yellow,large
10273,orci,f,132,dress,16,Yellow,large
10280,enim et,f,120,dress,44,Black,large
10298,Curae feugiat,f,173,dress,50,Red,small
10321,aliquam elementum,m,121,dress pants,30,Blue,large
10329,volutpat ornare,m,39,dress pants,25,Black,large
10339,est,m,60,dress pants,26,Black,large
10345,metus non,m,108,dress pants,32,Yellow,medium
