1,43527 South Saint Kitts and Nevis Ave.,Spartanburg,Arizona,39771,48,3,1
2,75465 North Guinea Ave.,Oil City,Iowa,17597,24,8,2
3,94686 South Venezuela Blvd.,Garland,California,19294,49,9,3
4,91942 South Poland Way,College Station,Alaska,1759,33,6,4
5,47050 North New Caledonia St.,Glen Cove,Michigan,4257,15,1,5
6,10932 East Mali Blvd.,Glens Falls,Tennessee,51612,46,5,6
7,18127 North Estonia Ln.,Modesto,California,97161,36,3,7
8,31037 North Burundi Ln.,Pittston,New Mexico,74240,27,5,8
9,65621 South Gibraltar Ln.,Vernon,Montana,12664,45,7,9
10,27013 South Puerto Rico Ln.,Jefferson City,Colorado,36427,26,4,10
11,44594  Port Jervis Way,Seaford,North Carolina,99302,20,2,11
12,13020 West Appleton Way,Dana Point,New Jersey,61009,34,7,12
13,68203 South Augusta Ave.,Agat,New Hampshire,88161,38,10,13
14,4869 North Antigua and Barbuda Ct.,Laguna Niguel,Arkansas,74406,48,2,14
15,49123 North Grand Rapids Ct.,Salisbury,Texas,10292,38,1,15
16,71059  French Southern Territories St.,Whittier,Mississippi,69101,23,4,16
17,59193  Hawaiian Gardens Ave.,Beaumont,Nebraska,16316,39,2,17
18,70170  Chandler Ave.,Irvine,Texas,39770,29,3,18
19,54151 West Bermuda Ln.,Woodruff,Washington,37385,20,10,19
20,41458 East Fontana Ln.,Shawnee,Arkansas,7889,35,7,20
21,56386 West Romania Ct.,Lewiston,Vermont,49671,32,5,21
22,58417 West Canada Ct.,Steubenville,Montana,26658,22,2,22
23,37050 North Andorra Blvd.,Hanahan,Utah,36859,41,2,23
24,84873  Bosnia and Herzegovina Ln.,Warner Robins,Ohio,88822,19,3,24
25,15213 West East Rutherford Way,Worland,Missouri,44724,50,9,25
26,43546  Eden Prairie Way,Fredericksburg,Vermont,82822,17,1,26
27,45270 North Cook Islands St.,Sturgis,New Mexico,49133,16,10,27
28,95467  Turkey Blvd.,Wilson,Rhode Island,3571,18,4,28
29,21077  Buena Park Blvd.,Carrollton,Alabama,97546,50,9,29
30,32760  Fresno St.,Liberal,South Carolina,93134,32,10,30
